Name,bigg id,0,SD,60,SD,105,SD,120,SD,180,SD,240,SD,300,SD
Acetic acid,ac,14.11,2.61,36.39,6.44,72.09,11.44,46.11,6.8,247.94,35.15,474.77,62.76,717.87,183.8
Acetaldehyde,acald,33.42,0,432.73,325.2,614.61,214.7,977.74,0,74.89,0,1.32,0,226.8,0
Acetoin,actn__R,0,0,0,0,26.71,0.35,33.21,1.2,61.47,11.88,99.55,23.41,196.48,69.85
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
