Time(hr),LB(log cfu/ml),ST(log cfu/ml),LB(cfu/ml),ST(cfu/ml),LB(g/L),ST(g/L),pH
0,6.683544304,6.82278481,4825522.043,5.00E+06,1.59E-02,1.65E-02,6.3359375
0.319361277,6.683544304,7.037974684,4825522.043,10913767.15,1.59E-02,3.59E-02,6.296875
0.648702595,6.670886076,7.17721519,4686904.192,15038869.47,1.54E-02,4.95E-02,6.25
1,6.734177215,7.708860759,5422221.007,51151780.99,1.78E-02,1.68E-01,6.203125
1.317365269,6.670886076,8,4686904.192,100000000,1.54E-02,3.29E-01,6.10546875
1.746506986,6.835443038,8.088607595,6846096.839,122633068.4,2.25E-02,4.03E-01,6.0390625
2,6.848101266,8.17721519,7048574.036,150388694.7,2.32E-02,4.95E-01,6.03125
2.320359281,6.943037975,8.189873418,8770775.094,154836525.7,2.89E-02,5.09E-01,6.015625
2.649700599,7.139240506,8.202531646,13779723.6,159415903.7,4.53E-02,5.24E-01,5.953125
3,7.215189873,8.443037975,16413071.95,277356261.4,5.40E-02,9.13E-01,5.82421875
3.323353293,7.367088608,8.569620253,23285662.98,371210500.9,7.66E-02,1.22E+00,5.546875
3.652694611,7.443037975,8.759493671,27735626.14,574769442.5,9.13E-02,1.89E+00,5.265625
4,7.506329114,8.943037975,32086999.97,877077509.4,1.06E-01,2.89E+00,5.08984375
4.321357285,7.715189873,9.037974684,51902690.77,1091376715,1.71E-01,3.59E+00,4.92578125
4.650698603,7.873417722,9.126582278,74716706.76,1338388753,2.46E-01,4.40E+00,4.76171875
