medium,description,compound,name
cheese,cheese,glc__D,D-Glucose
cheese,cheese,ac,Acetate
cheese,cheese,cit,Citrate
cheese,cheese,ascb__L,L-Ascorbate
cheese,cheese,ala__L,L-Alanine
cheese,cheese,arg__L,L-Arginine
cheese,cheese,asn__L,L-Asparagine
cheese,cheese,asp__L,L-Aspartate
cheese,cheese,glu__L,L-Glutamate
cheese,cheese,gln__L,L-Glutamine
cheese,cheese,gly,Glycine
cheese,cheese,cys__L,L-Cysteine
cheese,cheese,his__L,L-Histidine
cheese,cheese,ile__L,L-Isoleucine
cheese,cheese,leu__L,L-Leucine
cheese,cheese,lys__L,L-Lysine
cheese,cheese,met__L,L-Methionine
cheese,cheese,phe__L,L-Phenylalanine
cheese,cheese,pro__L,L-Proline
cheese,cheese,ser__L,L-Serine
cheese,cheese,thr__L,L-Threonine
cheese,cheese,trp__L,L-Tryptophan
cheese,cheese,tyr__L,L-Tyrosine
cheese,cheese,val__L,L-Valine
cheese,cheese,ade,Adenine
cheese,cheese,gua,Guanine
cheese,cheese,xan,Xanthine
cheese,cheese,ura,Uracil
cheese,cheese,mg2,Magnesium
cheese,cheese,ca2,Calcium
cheese,cheese,mn2,Manganese
cheese,cheese,fe2,Fe2+
cheese,cheese,fe3,Fe3+
cheese,cheese,zn2,Zinc
cheese,cheese,cobalt2,Co2+
cheese,cheese,cu2,Copper
cheese,cheese,cl,Chloride
cheese,cheese,so4,Sulfate
cheese,cheese,k,Potassium
cheese,cheese,h2o,H2O
cheese,cheese,h,H+
cheese,cheese,pi,Phosphate
cheese,cheese,na1,Sodium
cheese,cheese,nh4,Ammonium
cheese,cheese,pydam,Pyridoxamine
cheese,cheese,btn,Biotin
cheese,cheese,pydxn,Pyridoxine
cheese,cheese,nicnt,Nicotinate
cheese,cheese,pnto__R,(R)-Pantothenate
cheese,cheese,ribflv,Riboflavin
cheese,cheese,thm,Thiamin
cheese,cheese,cbl1,Cob(I)alamin
cheese,cheese,4abz,4-Aminobenzoate
cheese,cheese,orot,Orotate
cheese,cheese,thymd,Thymidine
cheese,cheese,ins,Inosine
cheese,cheese,fol,Folate
milk,milk,glc__D,D-Glucose
milk,milk,cit,Citrate
milk,milk,his__L,L-Histidine
milk,milk,ile__L,L-Isoleucine
milk,milk,leu__L,L-Leucine
milk,milk,lys__L,L-Lysine
milk,milk,met__L,L-Methionine
milk,milk,phe__L,L-Phenylalanine
milk,milk,thr__L,L-Threonine
milk,milk,trp__L,L-Tryptophan
milk,milk,val__L,L-Valine
milk,milk,ala__L,L-Alanine
milk,milk,arg__L,L-Arginine
milk,milk,asn__L,L-Asparagine
milk,milk,asp__L,L-Aspartate
milk,milk,cys__L,L-Cysteine
milk,milk,gln__L,L-Glutamine
milk,milk,glu__L,L-Glutamate
milk,milk,gly,Glycine
milk,milk,pro__L,L-Proline
milk,milk,ser__L,L-Serine
milk,milk,tyr__L,L-Tyrosine
milk,milk,btn,Biotin
milk,milk,pnto__R,(R)-Pantothenate
milk,milk,ribflv,Riboflavin C17H20N4O6
milk,milk,thm,Thiamin
milk,milk,fol,Folate
milk,milk,ade,Adenine
milk,milk,gua,Guanine
milk,milk,xan,Xanthine
milk,milk,ura,Uracil
milk,milk,mg2,Magnesium
milk,milk,ca2,Calcium
milk,milk,mn2,Manganese
milk,milk,fe2,Fe2+ mitochondria
milk,milk,fe3,Iron (Fe3+)
milk,milk,zn2,Zinc
milk,milk,cobalt2,Co2+
milk,milk,cu2,Copper
milk,milk,cl,Chloride
milk,milk,so4,Sulfate
milk,milk,k,Potassium
milk,milk,h2o,H2O H2O
milk,milk,h,H+
milk,milk,pi,Phosphate
milk,milk,nh4,Ammonium
milk,milk,oligopep,Oligopeptide
