aa,concentration(g/100 g milk),source,type,conc(mmol/L)
his__L,6.00E-05,https://doi.org/10.3390/foods10102431,free,0.003983125
ile__L,0.0002,https://doi.org/10.3390/foods10102431,free,0.015704461
leu__L,0.00019,https://doi.org/10.3390/foods10102431,free,0.014919238
lys__L,0.00041,https://doi.org/10.3390/foods10102431,free,0.028689736
met__L,0,approximation,free,0.003953713
phe__L,0.00024,https://doi.org/10.3390/foods10102431,free,0.014964664
thr__L,0.00017,https://doi.org/10.3390/foods10102431,free,0.014699566
trp__L,0,approximation,free,0.014617108
val__L,0.00021,https://doi.org/10.3390/foods10102431,free,0.018464085
ala__L,0.00091,https://doi.org/10.3390/foods10102431,free,0.105204461
arg__L,0.00034,https://doi.org/10.3390/foods10102431,free,0.019987569
asn__L,0.00028,https://doi.org/10.3390/foods10102431,free,0.021828984
asp__L,0.0007,https://doi.org/10.3390/foods10102431,free,0.054582037
cys__L,0,approximation,free,0
gln__L,0,approximation,free,0
glu__L,0.00907,https://doi.org/10.3390/foods10102431,free,0.639338599
gly,0.00152,https://doi.org/10.3390/foods10102431,free,0.208561464
pro__L,0.00048,https://doi.org/10.3390/foods10102431,free,0.042942589
ser__L,0.0003,https://doi.org/10.3390/foods10102431,free,0.029402647
tyr__L,0.00011,https://doi.org/10.3390/foods10102431,free,0.006253155
his__L,0.17,https://doi.org/10.3390/foods10102431,total,11.28552071
ile__L,0.19,https://doi.org/10.3390/foods10102431,total,14.9192379
leu__L,0.41,https://doi.org/10.3390/foods10102431,total,32.19414495
lys__L,0.37,https://doi.org/10.3390/foods10102431,total,25.89073715
met__L,0.14,https://doi.org/10.3390/foods10102431,total,9.66414483
phe__L,0.22,https://doi.org/10.3390/foods10102431,total,13.7176088
thr__L,0.23,https://doi.org/10.3390/foods10102431,total,19.88764864
trp__L,0.05,https://doi.org/10.3390/foods10102431,total,2.521726263
val__L,0.23,https://doi.org/10.3390/foods10102431,total,20.22256948
ala__L,0.16,https://doi.org/10.3390/foods10102431,total,18.49748769
arg__L,0.16,https://doi.org/10.3390/foods10102431,total,9.405914882
asn__L,0.35,https://doi.org/10.3390/foods10102431,total,27.28623036
cys__L,0.04,https://doi.org/10.3390/foods10102431,total,3.400513279
glu__L,1.02,https://doi.org/10.3390/foods10102431,total,71.89915886
gly,0.08,https://doi.org/10.3390/foods10102431,total,10.97691916
pro__L,0.31,https://doi.org/10.3390/foods10102431,total,27.73375525
ser__L,0.28,https://doi.org/10.3390/foods10102431,total,27.44247025
tyr__L,0.23,https://doi.org/10.3390/foods10102431,total,13.07477835
